epoch,acc,loss,lr,val_acc,val_loss
0,0.7187597973766519,0.916701742438769,0.01,0.8476388476919554,0.5497910705737201
1,0.8799399369864873,0.40548121840405454,0.01,0.9086724087078139,0.3145282685243308
2,0.9069022985857481,0.3185512028383626,0.01,0.9211464208277744,0.2698386894920158
3,0.9182713726787499,0.28135562971183425,0.01,0.9328779329133381,0.23286521999496787
4,0.9270333151568451,0.25021030405571976,0.01,0.9356994353984915,0.23300096123552053
5,0.9324950910237332,0.23311117418276217,0.01,0.9395604392417928,0.20772287554049795
6,0.9360097684805231,0.2194899951760754,0.01,0.9413424410237946,0.20480623788177915
7,0.9398214609837797,0.20596595894432643,0.01,0.9410454410808462,0.21103963176220575
8,0.944359190137135,0.19288983777714466,0.01,0.938669438350792,0.21991179528100432
9,0.94756035178498,0.18234130650295993,0.01,0.9459459456272992,0.19089224348621975
10,0.9495239509575564,0.17626658955723956,0.01,0.9431244428057963,0.19865424378285748
11,0.9536161576375972,0.16518519086842529,0.01,0.9472824473178525,0.18659747514308367
12,0.9540451792687679,0.1594088424666023,0.01,0.951440451458154,0.17958110790419798
13,0.9573783475937683,0.14946338939518825,0.01,0.9498069495060056,0.18269894591842167
14,0.9589294259360097,0.14305874326036158,0.01,0.9490644490998542,0.17679894073164565
15,0.9604970050859717,0.1363662241970545,0.01,0.9463914464268516,0.18527534588140232
16,0.9630711351031409,0.13147470824692276,0.01,0.9533709534063586,0.1696853514750775
17,0.9638796759344529,0.1264629771872196,0.01,0.9530739531093583,0.17168828195338792
18,0.9662227942383238,0.11925060169083244,0.01,0.9550044546858083,0.1708078270306175
19,0.9668993283924804,0.11630024299847518,0.01,0.9561924558738094,0.16508427685398286
