epoch,acc,loss,lr,val_acc,val_loss
0,0.22247823860727087,2.2987127894935275,5e-05,0.27692972350230416,2.094838935658679
1,0.5296338965693804,1.423293755473202,5e-05,0.725086405529954,0.8597132937150067
2,0.7789138504864311,0.7126903483883515,5e-05,0.8197004608294931,0.5739769240678181
3,0.8503744239631337,0.4966113475793701,5e-05,0.8574308755760369,0.45734971212351927
4,0.8869847670250897,0.3802848308134006,5e-05,0.8817684331797235,0.4149401263432569
5,0.908026113671275,0.3136198143286395,5e-05,0.8883928571428571,0.3669650667274053
6,0.9196908602150538,0.2773739364717291,5e-05,0.898905529953917,0.3807829528497661
7,0.9331797235023042,0.23161263245835526,5e-05,0.898905529953917,0.33895281231897767
8,0.9413882488479263,0.20693661144343756,5e-05,0.9111463133640553,0.31656061627897797
9,0.9493087557603687,0.17839393998971673,5e-05,0.907258064516129,0.3325875876685991
10,0.954029057859703,0.165171943645003,5e-05,0.909418202764977,0.35056313020842417
11,0.9616935483870968,0.13711888582578727,5e-05,0.9112903225806451,0.3232678847928201
12,0.9656618023553507,0.12263856107761051,5e-05,0.9088421658986175,0.35466043245957196
13,0.9857110855094726,0.05842629951628519,1e-05,0.9216589861751152,0.3143189347559406
14,0.991231438812084,0.039786522353713674,1e-05,0.9230990783410138,0.35138305760748373
15,0.993423579109063,0.030320423788258007,1e-05,0.9223790322580645,0.3808162769276975
16,0.9951996927803379,0.022034257651329103,2e-06,0.9232430875576036,0.3869312633567142
17,0.9956317204301075,0.0194916279254032,2e-06,0.9222350230414746,0.38864315881432476
18,0.9961437532002048,0.017707178356229432,2e-06,0.9199308755760369,0.4102218311777862
19,0.9964957757296466,0.01572774981413918,4e-07,0.9207949308755761,0.4108246577225523
