epoch,acc,loss
0,0.221875,2.2803719505667686
1,0.452099609375,1.6799467280507088
2,0.54951171875,1.4336508467793465
3,0.618798828125,1.2474938735365868
4,0.6703125,1.1142682407051325
5,0.70458984375,1.020695061609149
6,0.728759765625,0.9406086873263121
7,0.751025390625,0.8735627975314856
8,0.770947265625,0.8193775597959757
9,0.781640625,0.7860814172774553
10,0.786669921875,0.7608586773276329
11,0.79755859375,0.7230741485953331
12,0.805517578125,0.6910899488255382
13,0.810302734375,0.6756177950650454
14,0.813818359375,0.6578244999051094
15,0.82548828125,0.6370649335905909
16,0.82900390625,0.6157751526683569
17,0.834912109375,0.5981584191322327
18,0.838671875,0.583848979882896
19,0.8412109375,0.5729973100125789
