epoch,acc,loss
0,0.52509765625,1.4591557547450065
1,0.809765625,0.6129154657945037
2,0.859716796875,0.4636660849675536
3,0.87734375,0.40708670578897
4,0.88779296875,0.3670498660765588
5,0.8966796875,0.34153456166386603
6,0.90400390625,0.3138034309260547
7,0.911962890625,0.2909349076449871
8,0.91875,0.2751240742392838
9,0.92333984375,0.2592851608525962
10,0.929345703125,0.24029246368445456
11,0.934130859375,0.22552378582768143
12,0.935009765625,0.22200418817810713
13,0.938427734375,0.21251867045648395
14,0.942236328125,0.1950475568883121
15,0.944287109375,0.18625137889757754
16,0.949462890625,0.17520086634904147
17,0.9515625,0.1684826479991898
18,0.9548828125,0.1613102290313691
19,0.955908203125,0.15328629831783475
