epoch,acc,loss
0,0.445947265625,1.687675602734089
1,0.774462890625,0.7348754309117794
2,0.83828125,0.5369272824376822
3,0.864794921875,0.45060400255024435
4,0.875244140625,0.407323570176959
5,0.889453125,0.3687744867056608
6,0.902978515625,0.3323384985327721
7,0.9087890625,0.31643850412219765
8,0.914208984375,0.2919564938172698
9,0.914453125,0.2869105929508805
10,0.922216796875,0.26910346150398257
11,0.9255859375,0.25512013845145703
12,0.930517578125,0.24013080019503832
13,0.933935546875,0.23361502215266228
14,0.937646484375,0.21612609019502999
15,0.939697265625,0.21056674541905523
16,0.94296875,0.1997691050171852
17,0.94521484375,0.19277884289622307
18,0.945751953125,0.19156180126592517
19,0.9513671875,0.17301119714975358
