epoch,acc,loss,val_acc,val_loss
0,0.43768310546875,1.694970701355487,0.689697265625,1.2371506914496422
1,0.7723388671875,0.7331437713000923,0.815673828125,0.7320721242576838
2,0.84423828125,0.513818999286741,0.85400390625,0.5268090898171067
3,0.8662109375,0.4440927996765822,0.874755859375,0.44022007565945387
4,0.882080078125,0.388563547283411,0.880615234375,0.4106691787019372
5,0.89056396484375,0.3632218441925943,0.885986328125,0.40237105963751674
6,0.897705078125,0.33292197703849524,0.88037109375,0.3825383624061942
7,0.90655517578125,0.3077424420043826,0.884765625,0.381554352119565
8,0.91363525390625,0.28661417472176254,0.88525390625,0.38422502717003226
9,0.921142578125,0.26580311928410083,0.893798828125,0.3583675557747483
10,0.92242431640625,0.25627749564591795,0.9052734375,0.34526597149670124
11,0.927734375,0.24418324482394382,0.896484375,0.3422748176380992
12,0.93365478515625,0.22727827983908355,0.884765625,0.38022448448464274
13,0.93768310546875,0.21267172129591927,0.90185546875,0.3326818132773042
14,0.9412841796875,0.2049318880890496,0.905029296875,0.32703570555895567
15,0.94219970703125,0.19511027657426894,0.906494140625,0.3266586856916547
16,0.94329833984375,0.19283414649544284,0.905517578125,0.3197776526212692
17,0.9503173828125,0.17189802788197994,0.904052734375,0.34167188638821244
18,0.94842529296875,0.17157838068669662,0.908203125,0.33188687870278955
19,0.95379638671875,0.15981775661930442,0.90185546875,0.32958218501880765
