epoch,acc,loss
0,0.488330078125,1.5486658537760376
1,0.804248046875,0.6334453427232802
2,0.852783203125,0.47803872716613116
3,0.873486328125,0.4075518553610891
4,0.886962890625,0.3721162657253444
5,0.896630859375,0.3378561003599316
6,0.905322265625,0.30969105833210053
7,0.9119140625,0.28912812694907186
8,0.917138671875,0.2737625287845731
9,0.9205078125,0.2595666542183608
10,0.927197265625,0.24051088779233395
11,0.932958984375,0.22467252742499114
12,0.932373046875,0.22151820504805073
13,0.93955078125,0.20081227415939792
14,0.941650390625,0.1937718708650209
15,0.94716796875,0.181964468176011
16,0.947314453125,0.17442092564888298
17,0.949072265625,0.1699567071162164
18,0.952978515625,0.15746960210381075
19,0.95263671875,0.15209085104288533
