epoch,acc,loss,val_acc,val_loss
0,0.2412109375,2.2115350468084216,0.3974609375,1.8903003670275211
1,0.62890625,1.1452685482800007,0.73876953125,1.0687901712954044
2,0.79669189453125,0.67115308647044,0.75634765625,0.7989550456404686
3,0.83233642578125,0.5452997002284974,0.8544921875,0.5096854064613581
4,0.85919189453125,0.4570307821268216,0.869140625,0.43459031730890274
5,0.87164306640625,0.41331401746720076,0.859619140625,0.4699964402243495
6,0.87939453125,0.3966779423644766,0.858154296875,0.46888606157153845
7,0.88604736328125,0.36840961093548685,0.86865234375,0.4449799843132496
8,0.8988037109375,0.3337530844146386,0.886474609375,0.3856035117059946
9,0.90673828125,0.313929608091712,0.89013671875,0.3870618767105043
10,0.9105224609375,0.29549829475581646,0.890869140625,0.37061502505093813
11,0.9151611328125,0.2769410063046962,0.89404296875,0.37174304062500596
12,0.919677734375,0.2706085527315736,0.8779296875,0.415975374635309
13,0.92486572265625,0.24260927987052128,0.88818359375,0.40026158187538385
14,0.920166015625,0.25210870563751087,0.887451171875,0.39023959124460816
15,0.92889404296875,0.2350748039316386,0.8955078125,0.37767273001372814
16,0.9305419921875,0.22253343393094838,0.885986328125,0.3866950264200568
17,0.93408203125,0.21682827197946608,0.897216796875,0.358776927459985
18,0.93548583984375,0.21479749662103131,0.895263671875,0.38200337812304497
19,0.939208984375,0.19528655079193413,0.899169921875,0.35712136095389724
