epoch,acc,loss
0,0.488330078125,1.6187752060592175
1,0.756103515625,0.8338394667953253
2,0.810302734375,0.6552691493183375
3,0.835546875,0.5689442086964845
4,0.846728515625,0.5220729218795895
5,0.8625,0.47026520427316426
6,0.8744140625,0.43450103159993886
7,0.8814453125,0.4107316257432103
8,0.886767578125,0.39429912334308026
9,0.892529296875,0.37246234035119413
10,0.895166015625,0.36157370591536164
11,0.89990234375,0.3427007316611707
12,0.9037109375,0.33655909867957234
13,0.90888671875,0.31815128698945044
14,0.9095703125,0.31489856941625477
15,0.91357421875,0.3061476515606046
16,0.915185546875,0.2973581747151911
17,0.919189453125,0.28553998870775105
18,0.921142578125,0.2808340979740024
19,0.92236328125,0.2737955592572689
