epoch,acc,loss
0,0.512109375,1.4918631326407195
1,0.8078125,0.621308510005474
2,0.8541015625,0.47827414628118275
3,0.87587890625,0.41451243218034506
4,0.88974609375,0.36668545231223104
5,0.896484375,0.34113859264180063
6,0.90458984375,0.3097307634539902
7,0.913037109375,0.2911974939517677
8,0.91689453125,0.27328785955905915
9,0.920166015625,0.2663571396842599
10,0.925537109375,0.2458764721173793
11,0.928662109375,0.2371165513060987
12,0.933837890625,0.22420984241180122
13,0.938134765625,0.21025107363238932
14,0.940673828125,0.20388986596371977
15,0.9453125,0.18841878650709987
16,0.9478515625,0.17686838023364543
17,0.94970703125,0.1695199786219746
18,0.95224609375,0.16475898267235606
19,0.953759765625,0.15591265838593243
