epoch,acc,loss
0,0.415771484375,1.722446151683107
1,0.793798828125,0.6599454536335543
2,0.84599609375,0.49893341220449655
3,0.862744140625,0.44139328532619404
4,0.88232421875,0.38376822947757316
5,0.89130859375,0.35819048669654874
6,0.896728515625,0.33011047447216696
7,0.905078125,0.307655581459403
8,0.912841796875,0.28253561262972654
9,0.91767578125,0.26955443900660614
10,0.92431640625,0.2513671991880983
11,0.926611328125,0.23969622446456923
12,0.93349609375,0.22056430832744808
13,0.93466796875,0.21989226278383284
14,0.936767578125,0.20647042200580473
15,0.94130859375,0.188535848884203
16,0.942724609375,0.18834093610639685
17,0.947509765625,0.17347395308242994
18,0.948828125,0.16303926992040943
19,0.951025390625,0.1588333051186055
